id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,notes
BR-RN-RIC-001,Le Dune Beach,"Piazzale S.Allende, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0229275,12.6338879,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-002,Hyper Beach Riccione,"Viale D'Annunzio Spiaggia 138, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0210534,12.6362829,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-003,Mojito Spiaggia,"Passeggiata Goethe 52, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0200339,12.6376743,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-004,Opèra Beach Club,"Passeggiata Johann Wolfgang Von Goethe 46, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.019452,12.6386869,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-005,Samsara Beach Riccione,"Viale Gabriele D'Annunzio 150, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0189821,12.6391231,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-006,Spiaggia129 BeachClub,"Passeggiata Goethe, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0186895,12.6399049,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-007,Spiaggia 130 131 Riccione,"Viale Edmondo de Amicis, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0183398,12.6401528,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-008,Spiaggia 128 Riccione,"Via Massimo d'Azeglio, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0177834,12.6408818,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-009,Bagno Nello 125,"Viale D'Annunzio 125, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0171323,12.6419638,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-010,Le Oasi 123 124 Riccione,"Piazzale Aldo Moro, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0165583,12.6420992,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-011,Bagni Nettuno 122A,"Passeggiata Goethe zona 122A, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0159641,12.6431923,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-012,Bagni 122 Bluemarine,"Viale Gabriele D'Annunzio 112, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0156922,12.6434874,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-013,Spiaggia 121,"Viale Gabriele D'Annunzio 106, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0152305,12.6442403,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-014,Bagni 120 Riccione,"Via G. Verga, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0151014,12.6445235,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-015,Bagni Luciano 119,"Viale Petrarca, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0147399,12.6449813,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-016,118 La Dolce Vita,"Via U. Foscolo, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0145036,12.6452281,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-017,Bagno 117 Alba D'Oro,"Viale V. Alfieri, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.01424,12.645617,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-018,Bagni Elio zona 116,"Viale Enza 5, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0139692,12.645982,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-019,Bagni Oreste zona 115,"Viale G. Mameli, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.013658,12.6464509,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-020,𝑩𝒂𝒈𝒏𝒊 𝑵𝒐𝒗𝒆𝒍𝒍𝒂 𝟏𝟏𝟒 𝑹𝒊𝒄𝒄𝒊𝒐𝒏𝒆,"Viale Claudio Monteverdi, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0134597,12.6468895,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-021,Bagni Azzurra 113,"Viale Claudio Monteverdi 130, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.013051,12.6470923,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-022,Unounodue Beach Bagni 112,"Lungomare Costituzione 112, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0129248,12.6474386,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-023,Bagni Alfredo 111,"Piazzale Azzarita 111, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0127429,12.6478152,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-024,Bagni Giorgio 110 La Spiaggia Del Cuore,"Piazzale Azzarita 110, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0122173,12.6485012,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-025,Playa del Sol 108-109 | Riccione,"Lungomare Costituzione 58, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0119288,12.6490999,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-026,Spiaggia 107,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0112739,12.6498273,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-027,Bagno 106 Paola,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0111141,12.6500566,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-028,Spiaggia Del Benessere 105,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0109107,12.6504425,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-029,Bagno 104 - Rino E Ivo,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.010646,12.650726,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-030,Lido delle Sirene 101-102,"Lungomare Costituzione 21, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0101203,12.6515188,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-031,Original Beach 100 3x3beachcaffè,"Lungomare Costituzione 100, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0096671,12.6521377,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-032,Bagni Rina 99,"Lungomare Costituzione 2, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0094363,12.6526591,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-033,Bagni Carla 98 S.a.s. Di Mazzotti Fabrizio E C.,"Lungomare Costituzione 98, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0092832,12.6527965,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-034,Spiaggia Riccione Pet Friendly Beach - La Spiaggia delle Donne,"Lungomare Costituzione 97, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0089554,12.6532121,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-035,Spiaggia 95 Marco - Riccione,"Lungomare Costituzione 95, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.008554,12.6538523,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-036,Spiaggia Battarra & Settimio - 94,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0078415,12.6548275,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-037,Bagni 92 Luigi e Karin,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0075944,12.6552377,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-038,Spiaggia 91 Con Piscina,"Lungomare Costituzione, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0073452,12.6555166,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-039,Spiaggia 90,"Piazzale Del Porto 3, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0064891,12.6575679,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-040,Spiaggia Le Palme,"Lungomare della Libertà, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0063475,12.6578165,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-041,Spiaggia del sole 86-87,"Lungomare della Libertà, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0057234,12.6587219,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-042,Bagno Giulia 85,"Lungomare della Libertà, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0053102,12.6590443,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-043,Bagno Fabio N. 84,"Lungomare della Libertà 84, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0052005,12.6594534,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-044,Bagno Aldo Zona 83,"Lungomare della Libertà, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0047454,12.6599006,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-045,Spiaggia 82,"Lungomare della Libertà 82, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,44.0043662,12.6598845,lat/lng to be filled via overrides/geocoding pipeline.
