id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,notes
BR-SI-CTTAO-001,Le Capannine,"Viale Presidente Kennedy 93, 95100 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4430254,15.0863957,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-002,Lido tempo libero,"Viale Presidente Kennedy, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4464264,15.0852776,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-003,Lido Delfino,"Viale Presidente Kennedy 91, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4469146,15.0858659,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-004,Lido America,"Viale Presidente Kennedy 89, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4485848,15.08595,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-005,LIDO NIKI VILLAGE,"Viale Presidente Kennedy 87, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4496269,15.0860042,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-006,Lido Jolly,"Viale Presidente Kennedy 85, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4509353,15.0854768,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-007,Lido Internazionale,"Viale Presidente Kennedy 83, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4541373,15.0854087,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-008,Lido Roma,"Viale Presidente Kennedy 77, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4552197,15.085349,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-009,LIDO ALKAMAR,"Viale Presidente Kennedy 75, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4560445,15.0853973,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-010,LIDO VENERE,"Viale Presidente Kennedy 73, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4578133,15.0844033,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-011,Circolo La Pineta,"Viale Presidente Kennedy 71, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4587863,15.084313,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-012,Lido Etna di Marino Maria Grazia & C Sas,"Viale Presidente Kennedy 69, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4600415,15.0849444,lat/lng to be filled via overrides/geocoding pipeline.
BR-SI-CTTAO-013,Lido Europa,"Viale Presidente Kennedy 65, 95121 Catania CT, Italia",Catania,CT,Sicilia,2,PRED,37.4616677,15.0840554,lat/lng to be filled via overrides/geocoding pipeline.
