id,name,address,city,province,region,lat,lng,baselineLevel,baselineSource,notes
BR-RN-001,Bagno Uno,"Lungomare Claudio Tintori 2, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0762395,12.5760479,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-002,Prime Spiagge bagni 5.6.7,"Lungomare Claudio Tintori 10, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.074598,12.5770995,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-003,Bagno N. 7 Alan Di G.A.E. Di Iaci Gaspare E C. Snc,"Lungomare Claudio Tintori 15, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0744934,12.5775252,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-004,Beach 8 Luciano - Centro Nautico,"Lungomare Claudio Tintori 12, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0740137,12.5777146,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-005,La Spiaggia del Grand Hotel Rimini,"Lungomare Claudio Tintori 12, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0737541,12.578315,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-006,Bagno 9 Mauro,"Lungomare Claudio Tintori, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.073298,12.5789202,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-007,Bagno delle Rose 10,"Lungomare Claudio Tintori 16, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0729656,12.5791241,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-008,Bagno 12 Azzurro,"Lungomare Claudio Tintori 18, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0721177,12.5787776,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-009,Bagno 14 B. L'Amarissimo,"Lungomare Claudio Tintori 20, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0719663,12.5798659,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-010,Bagno 15 Oasi,"Lungomare Claudio Tintori, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0716993,12.5801758,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-011,Bagno 16 Giorgio,"Lungomare Claudio Tintori, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0713832,12.5804296,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-012,Bagno 17 Rimini,"Lungomare Claudio Tintori 22A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0711716,12.5805854,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-013,Bagno 18 Attilio,"Lungomare Claudio Tintori 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0708861,12.5808477,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-014,Bagno 19 Gastone,"Lungomare Claudio Tintori, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0706143,12.5809691,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-015,Bagno 20 Arcobaleno,"Lungomare Claudio Tintori 26, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0703086,12.581347,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-016,Bagni 21 Sirena Beach,"Lungomare Claudio Tintori 21, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0698353,12.5808313,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-017,Bagni 23 Sirena Beach,"Lungomare Claudio Tintori 23/C, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0697332,12.5817902,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-018,Bagno 24 Rimini,"Lungomare Claudio Tintori 28, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0694947,12.5820021,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-019,Bagno Aldo 25,"Lungomare Claudio Tintori, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0692003,12.5821928,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-020,Bagno Tiki 26 Rimini,"Lungomare Claudio Tintori 30/A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.068857,12.5825674,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-021,La Community 27,"Lungomare Claudio Tintori 32A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0685788,12.5828138,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-022,Bagno 28A Belvedere,"Lungomare Claudio Tintori 34B, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.067695,12.5824881,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
